-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2001 through 12/31/2017 
Location: Latitude  36.7382   Longitude -119.7776 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 358.59 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
36.73821,-119.77759,2001,08,08,   33.11
36.73821,-119.77759,2001,08,09,   30.54
36.73821,-119.77759,2001,08,10,   28.11
36.73821,-119.77759,2001,08,11,   27.79
36.73821,-119.77759,2001,08,12,   27.38
36.73821,-119.77759,2001,08,13,   25.98
36.73821,-119.77759,2001,08,14,   27.70
36.73821,-119.77759,2001,08,15,   28.79
36.73821,-119.77759,2001,08,16,   30.19
36.73821,-119.77759,2001,08,17,   30.83
36.73821,-119.77759,2001,08,18,   30.12
36.73821,-119.77759,2001,08,19,   29.36
36.73821,-119.77759,2001,08,20,   26.15
36.73821,-119.77759,2001,08,21,   23.34
36.73821,-119.77759,2001,08,22,   22.72
36.73821,-119.77759,2001,08,23,   23.58
36.73821,-119.77759,2001,08,24,   25.50
36.73821,-119.77759,2001,08,25,   27.68
36.73821,-119.77759,2001,08,26,   29.49
36.73821,-119.77759,2001,08,27,   29.73
36.73821,-119.77759,2001,08,28,   30.12
36.73821,-119.77759,2001,08,29,   26.18
36.73821,-119.77759,2001,08,30,   23.94
36.73821,-119.77759,2001,08,31,   25.12
36.73821,-119.77759,2001,09,01,   26.40
36.73821,-119.77759,2001,09,02,   28.17
36.73821,-119.77759,2001,09,03,   28.76
36.73821,-119.77759,2001,09,04,   28.82
36.73821,-119.77759,2001,09,05,   26.64
36.73821,-119.77759,2001,09,06,   23.47
36.73821,-119.77759,2001,09,07,   25.27
36.73821,-119.77759,2001,09,08,   24.64
36.73821,-119.77759,2001,09,09,   24.58
36.73821,-119.77759,2001,09,10,   24.05
36.73821,-119.77759,2001,09,11,   24.31
36.73821,-119.77759,2001,09,12,   23.30
36.73821,-119.77759,2001,09,13,   23.39
36.73821,-119.77759,2001,09,14,   25.45
36.73821,-119.77759,2001,09,15,   25.33
36.73821,-119.77759,2001,09,16,   23.25
36.73821,-119.77759,2001,09,17,   22.54
36.73821,-119.77759,2001,09,18,   24.73
36.73821,-119.77759,2001,09,19,   25.09
36.73821,-119.77759,2001,09,20,   25.39
36.73821,-119.77759,2001,09,21,   24.43
36.73821,-119.77759,2001,09,22,   25.04
36.73821,-119.77759,2001,09,23,   25.78
36.73821,-119.77759,2001,09,24,   24.75
36.73821,-119.77759,2001,09,25,   22.82
36.73821,-119.77759,2001,09,26,   23.03
36.73821,-119.77759,2001,09,27,   23.36
36.73821,-119.77759,2001,09,28,   21.35
36.73821,-119.77759,2001,09,29,   23.21
36.73821,-119.77759,2001,09,30,   28.98
36.73821,-119.77759,2001,10,01,   29.21
36.73821,-119.77759,2001,10,02,   27.85
36.73821,-119.77759,2001,10,03,   27.33
36.73821,-119.77759,2001,10,04,   23.27
36.73821,-119.77759,2001,10,05,   19.92
36.73821,-119.77759,2001,10,06,   18.34
36.73821,-119.77759,2001,10,07,   19.10
36.73821,-119.77759,2001,10,08,   18.74
36.73821,-119.77759,2001,10,09,   18.62
36.73821,-119.77759,2001,10,10,   19.88
36.73821,-119.77759,2001,10,11,   20.24
36.73821,-119.77759,2001,10,12,   20.67
36.73821,-119.77759,2001,10,13,   22.01
36.73821,-119.77759,2001,10,14,   23.51
36.73821,-119.77759,2001,10,15,   24.32
36.73821,-119.77759,2001,10,16,   23.60
36.73821,-119.77759,2001,10,17,   20.70
36.73821,-119.77759,2001,10,18,   20.32
36.73821,-119.77759,2001,10,19,   21.30
36.73821,-119.77759,2001,10,20,   20.58
36.73821,-119.77759,2001,10,21,   19.04
36.73821,-119.77759,2001,10,22,   16.00
36.73821,-119.77759,2001,10,23,   17.57
36.73821,-119.77759,2001,10,24,   17.57
36.73821,-119.77759,2001,10,25,   20.25
36.73821,-119.77759,2001,10,26,   21.43
36.73821,-119.77759,2001,10,27,   18.90
36.73821,-119.77759,2001,10,28,   16.82
36.73821,-119.77759,2001,10,29,   17.06
36.73821,-119.77759,2001,10,30,   15.20
36.73821,-119.77759,2001,10,31,   15.18
36.73821,-119.77759,2001,11,01,   15.32
36.73821,-119.77759,2001,11,02,   15.56
36.73821,-119.77759,2001,11,03,   17.22
36.73821,-119.77759,2001,11,04,   18.44
36.73821,-119.77759,2001,11,05,   17.89
36.73821,-119.77759,2001,11,06,   16.67
36.73821,-119.77759,2001,11,07,   14.41
36.73821,-119.77759,2001,11,08,   17.87
36.73821,-119.77759,2001,11,09,   18.45
36.73821,-119.77759,2001,11,10,   17.04
36.73821,-119.77759,2001,11,11,   16.24
36.73821,-119.77759,2001,11,12,   13.34
36.73821,-119.77759,2001,11,13,   11.65
36.73821,-119.77759,2001,11,14,   13.19
36.73821,-119.77759,2001,11,15,   14.13
36.73821,-119.77759,2001,11,16,   15.26
36.73821,-119.77759,2001,11,17,   14.93
36.73821,-119.77759,2001,11,18,   13.96
36.73821,-119.77759,2001,11,19,   15.06
36.73821,-119.77759,2001,11,20,   14.84
36.73821,-119.77759,2001,11,21,   14.54
36.73821,-119.77759,2001,11,22,   11.96
36.73821,-119.77759,2001,11,23,   10.45
36.73821,-119.77759,2001,11,24,    9.47
36.73821,-119.77759,2001,11,25,    6.74
36.73821,-119.77759,2001,11,26,    5.96
36.73821,-119.77759,2001,11,27,    5.34
36.73821,-119.77759,2001,11,28,    6.95
36.73821,-119.77759,2001,11,29,    7.14
36.73821,-119.77759,2001,11,30,    7.66
36.73821,-119.77759,2001,12,01,    7.12
36.73821,-119.77759,2001,12,02,    8.59
36.73821,-119.77759,2001,12,03,    6.41
36.73821,-119.77759,2001,12,04,    5.12
36.73821,-119.77759,2001,12,05,    6.52
36.73821,-119.77759,2001,12,06,    9.32
36.73821,-119.77759,2001,12,07,   10.18
36.73821,-119.77759,2001,12,08,   11.83
36.73821,-119.77759,2001,12,09,    6.00
36.73821,-119.77759,2001,12,10,    4.59
36.73821,-119.77759,2001,12,11,    4.84
36.73821,-119.77759,2001,12,12,    6.49
36.73821,-119.77759,2001,12,13,    6.85
36.73821,-119.77759,2001,12,14,    5.27
36.73821,-119.77759,2001,12,15,    3.14
36.73821,-119.77759,2001,12,16,    6.49
36.73821,-119.77759,2001,12,17,    7.63
36.73821,-119.77759,2001,12,18,    7.69
36.73821,-119.77759,2001,12,19,    7.94
36.73821,-119.77759,2001,12,20,    7.63
36.73821,-119.77759,2001,12,21,    7.32
36.73821,-119.77759,2001,12,22,    6.58
36.73821,-119.77759,2001,12,23,    7.31
36.73821,-119.77759,2001,12,24,    7.56
36.73821,-119.77759,2001,12,25,    9.56
36.73821,-119.77759,2001,12,26,   10.14
36.73821,-119.77759,2001,12,27,   11.45
36.73821,-119.77759,2001,12,28,   10.16
36.73821,-119.77759,2001,12,29,    8.85
36.73821,-119.77759,2001,12,30,    9.66
36.73821,-119.77759,2001,12,31,   11.28
36.73821,-119.77759,2002,01,01,   10.44
36.73821,-119.77759,2002,01,02,    9.92
36.73821,-119.77759,2002,01,03,    8.99
36.73821,-119.77759,2002,01,04,    7.81
36.73821,-119.77759,2002,01,05,   11.23
36.73821,-119.77759,2002,01,06,   13.12
36.73821,-119.77759,2002,01,07,   12.91
36.73821,-119.77759,2002,01,08,   10.77
36.73821,-119.77759,2002,01,09,    9.10
36.73821,-119.77759,2002,01,10,    9.82
36.73821,-119.77759,2002,01,11,   11.85
36.73821,-119.77759,2002,01,12,   10.25
36.73821,-119.77759,2002,01,13,    8.38
36.73821,-119.77759,2002,01,14,    6.41
36.73821,-119.77759,2002,01,15,    4.35
36.73821,-119.77759,2002,01,16,    5.05
36.73821,-119.77759,2002,01,17,    4.57
36.73821,-119.77759,2002,01,18,    4.65
36.73821,-119.77759,2002,01,19,    5.82
36.73821,-119.77759,2002,01,20,    4.95
36.73821,-119.77759,2002,01,21,    6.80
36.73821,-119.77759,2002,01,22,    3.67
36.73821,-119.77759,2002,01,23,    2.94
36.73821,-119.77759,2002,01,24,    6.11
36.73821,-119.77759,2002,01,25,    8.74
36.73821,-119.77759,2002,01,26,    7.09
36.73821,-119.77759,2002,01,27,    5.77
