,T2M,collisions
969,27.32,39
970,25.17,42
971,27.05,24
972,28.44,31
973,30.36,37
974,32.26,43
975,31.64,53
976,30.09,43
977,28.56,43
978,26.31,26
979,24.53,31
980,22.47,42
981,21.95,39
982,22.5,41
983,26.85,46
984,28.28,48
985,29.04,41
986,28.97,35
987,27.03,33
988,23.95,45
989,21.79,54
990,24.53,53
991,26.27,40
992,26.76,29
993,29.17,26
994,30.4,43
995,29.09,49
996,25.22,45
997,23.76,40
998,24.69,38
999,25.12,31
1000,24.09,29
1001,23.12,37
1002,24.83,38
1003,22.37,43
1004,19.96,43
1005,20.59,47
1006,21.82,26
1007,22.45,23
1008,24.22,44
1009,23.54,38
1010,22.72,61
1011,21.26,41
1012,18.03,53
1013,20.13,36
1014,20.36,32
1015,20.79,40
1016,21.96,51
1017,20.58,46
1018,20.43,44
1019,22.59,34
1020,25.0,37
1021,23.66,23
1022,24.84,60
1023,25.99,54
1024,23.53,59
1025,21.25,41
1026,23.14,43
1027,24.09,32
1028,24.7,28
1029,24.06,38
1030,24.1,54
1031,20.15,35
1032,12.08,46
1033,8.78,37
1034,10.11,31
1035,9.69,24
1036,7.79,28
1037,8.61,48
1038,10.58,34
1039,13.41,34
1040,14.23,30
1041,13.07,19
1042,12.83,13
1043,12.27,31
1044,11.97,45
1045,11.64,41
1046,12.28,31
1047,11.68,50
1048,10.0,21
1049,9.62,21
1050,10.17,40
1051,12.9,44
1052,16.52,34
1053,13.7,36
1054,8.7,28
1055,5.58,20
1056,7.85,26
1057,7.86,26
1058,6.04,37
1059,6.79,32
1060,10.33,12
1061,13.19,22
1062,12.3,16
1063,10.94,12
1064,12.0,29
1065,13.06,31
1066,10.96,28
1067,12.82,28
1068,12.38,29
1069,12.83,20
1070,10.71,15
1071,7.15,30
1072,9.67,32
1073,9.34,32
1074,6.4,32
1075,6.24,27
1076,8.14,18
1077,6.67,15
1078,5.57,18
1079,8.32,35
1080,9.85,29
1081,12.4,38
1082,12.13,26
1083,10.2,20
1084,10.21,11
1085,10.26,20
1086,9.52,15
1087,8.88,24
1088,6.15,4
1089,3.63,22
1090,2.5,23
1091,3.16,14
1092,4.22,20
1093,7.65,16
1094,7.97,20
1095,5.85,8
1096,5.61,19
1097,2.04,15
1098,1.99,12
1099,4.97,29
1100,6.82,18
1101,9.16,30
1102,11.84,28
1103,11.69,25
1104,12.3,33
1105,12.29,18
1106,12.31,30
1107,12.02,44
1108,11.27,34
1109,9.43,26
1110,8.14,26
1111,8.35,21
1112,8.64,19
1113,7.62,22
1114,7.16,36
1115,7.28,27
1116,7.59,24
1117,8.18,36
1118,7.49,27
1119,6.57,20
1120,6.89,26
1121,7.6,26
1122,7.22,26
1123,7.91,34
1124,8.68,32
1125,6.24,36
1126,6.97,19
1127,7.59,22
1128,5.85,23
1129,6.5,25
1130,6.56,27
1131,9.37,30
1132,7.53,21
1133,6.89,27
1134,7.79,33
1135,8.62,40
1136,9.5,49
1137,11.34,35
1138,9.8,24
1139,10.86,23
1140,11.32,13
1141,11.58,19
1142,12.55,45
1143,9.41,28
1144,8.76,26
1145,8.86,35
1146,8.46,19
1147,8.19,12
1148,8.96,32
1149,8.59,23
1150,9.63,31
1151,7.73,17
1152,5.84,36
1153,7.52,26
1154,8.46,21
1155,8.26,33
1156,8.4,39
1157,9.29,31
1158,9.68,29
1159,10.5,31
1160,12.4,36
1161,15.74,30
1162,18.91,41
1163,18.67,47
1164,18.0,46
1165,17.99,53
1166,16.45,40
1167,17.37,50
1168,17.41,34
1169,18.14,47
1170,18.99,37
1171,19.87,44
1172,20.83,40
1173,19.19,41
1174,20.49,24
1175,19.3,28
1176,18.45,24
1177,15.52,47
1178,14.39,30
1179,13.99,29
1180,11.01,37
1181,12.52,34
1182,17.75,22
1183,20.43,38
1184,16.14,42
1185,14.5,44
1186,13.1,34
1187,14.81,43
1188,17.04,36
1189,16.47,29
1190,14.59,44
1191,13.46,30
1192,15.4,39
1193,17.47,32
1194,18.92,21
1195,19.69,43
1196,19.33,26
1197,19.26,26
1198,14.87,39
1199,14.31,39
1200,14.37,37
1201,12.92,41
1202,10.47,24
1203,10.54,19
1204,13.13,34
1205,16.26,36
1206,15.07,44
1207,15.92,33
1208,18.02,41
1209,20.4,36
1210,22.6,27
1211,24.75,30
1212,25.59,48
1213,21.5,38
1214,18.61,46
1215,20.27,41
1216,22.51,34
1217,25.16,36
1218,26.73,40
1219,26.19,41
1220,22.77,53
1221,21.56,40
1222,21.4,35
1223,18.66,39
1224,19.82,21
1225,16.36,30
1226,16.18,43
1227,18.09,38
1228,21.22,53
1229,22.8,47
1230,21.54,38
1231,20.78,34
1232,18.81,33
1233,16.99,49
1234,19.02,49
1235,18.84,33
1236,18.06,51
1237,18.35,36
1238,18.7,31
1239,18.17,47
1240,19.37,47
1241,22.3,36
1242,23.85,34
1243,19.99,38
1244,19.45,41
1245,23.55,20
1246,26.25,32
1247,26.6,52
1248,27.25,47
1249,26.42,52
1250,26.17,51
1251,25.66,38
1252,25.93,31
1253,21.78,36
1254,18.49,33
1255,18.17,46
1256,20.53,52
1257,22.68,47
1258,22.92,35
1259,25.09,41
1260,26.61,41
1261,29.44,45
1262,29.45,38
1263,26.62,40
1264,25.96,36
1265,25.15,32
1266,24.48,25
1267,25.16,35
1268,26.05,38
1269,26.39,28
1270,24.76,38
1271,25.8,40
1272,25.72,42
1273,25.7,24
1274,26.67,43
1275,25.29,38
1276,24.46,44
1277,24.26,43
1278,26.31,41
1279,27.17,28
1280,28.05,49
1281,29.74,27
1282,30.59,42
1283,28.97,31
1284,27.03,38
1285,25.84,40
1286,26.3,38
1287,28.51,25
1288,29.68,39
1289,28.02,50
1290,28.21,46
1291,29.07,55
1292,29.46,37
1293,29.41,34
1294,29.85,30
1295,29.32,42
1296,29.26,46
1297,30.55,44
1298,30.11,42
1299,29.24,37
1300,29.05,31
1301,30.06,40
1302,30.57,33
1303,28.96,54
1304,28.73,37
